No,Date,PlayerName,WinLose,1st2nd,Opponent,Game
1,20180403,豊島将之,Win,後,久保利明,第89期棋聖戦 本戦 1回戦
2,20180406,豊島将之,Lose,後,都成竜馬,第66期王座戦 二次予選 決勝
3,20180412,豊島将之,Win,先,松尾歩,第31期竜王戦 １組 ランキング戦 準決勝
4,20180416,豊島将之,Win,先,阿久津主税,第59期王位戦 白組 3回戦
5,20180419,豊島将之,Win,後,鈴木大介,第89期棋聖戦 本戦 2回戦
6,20180426,豊島将之,Win,先,阿部光瑠,第89期棋聖戦 本戦 準決勝
7,20180501,豊島将之,Win,後,三浦弘行,第89期棋聖戦 本戦 決勝
8,20180511,豊島将之,Lose,後,澤田真吾,第59期王位戦 白組 4回戦
9,20180515,豊島将之,Win,先,郷田真隆,第26期銀河戦 Eブロック 10回戦
10,20180515,豊島将之,Win,先,広瀬章人,第26期銀河戦 Eブロック 11回戦
11,20180517,豊島将之,Win,先,佐々木大地,第59期王位戦 白組 5回戦
12,20180525,豊島将之,Lose,後,広瀬章人,第31期竜王戦 １組 ランキング戦 決勝
13,20180530,豊島将之,Win,先,澤田真吾,第59期王位戦 白組 プレーオフ
14,20180604,豊島将之,Win,後,羽生善治,第59期王位戦 挑戦者決定戦
15,20180606,豊島将之,Win,先,羽生善治,第89期棋聖戦 タイトル戦 第1局
16,20180612,豊島将之,Win,先,稲葉陽,第77期順位戦 Ａ級 1回戦
17,20180616,豊島将之,Lose,後,羽生善治,第89期棋聖戦 タイトル戦 第2局
18,20180622,豊島将之,Lose,先,丸山忠久,第44期棋王戦 本戦 1回戦
19,20180626,豊島将之,Win,先,伊藤真吾,第26期銀河戦 決勝T 1回戦
20,20180630,豊島将之,Win,先,羽生善治,第89期棋聖戦 タイトル戦 第3局
21,20180704,豊島将之,Lose,後,菅井竜也,第59期王位戦 タイトル戦 第1局
22,20180710,豊島将之,Lose,後,羽生善治,第89期棋聖戦 タイトル戦 第4局
23,20180712,豊島将之,Win,後,羽生善治,第26期銀河戦 決勝T 2回戦
24,20180717,豊島将之,Win,後,羽生善治,第89期棋聖戦 タイトル戦 第5局
25,20180720,豊島将之,Lose,後,深浦康市,第31期竜王戦 本戦 準々決勝
26,20180724,豊島将之,Win,先,菅井竜也,第59期王位戦 タイトル戦 第2局
27,20180728,豊島将之,Win,後,松尾歩,第39回日本シリーズ 本戦 1回戦
28,20180801,豊島将之,Lose,後,菅井竜也,第59期王位戦 タイトル戦 第3局
29,20180810,豊島将之,Win,後,阿久津主税,第77期順位戦 Ａ級 2回戦
30,20180812,豊島将之,Lose,後,行方尚史,第26期銀河戦 決勝T 準決勝
31,20180816,豊島将之,Lose,後,橋本崇載,第4期叡王戦 八段戦 2回戦
32,20180822,豊島将之,Win,先,菅井竜也,第59期王位戦 タイトル戦 第4局
33,20180829,豊島将之,Lose,後,菅井竜也,第59期王位戦 タイトル戦 第5局
34,20180910,豊島将之,Win,先,菅井竜也,第59期王位戦 タイトル戦 第6局
35,20180915,豊島将之,Lose,先,羽生善治,第39回日本シリーズ 本戦 2回戦
36,20180921,豊島将之,Win,先,佐藤康光,第77期順位戦 Ａ級 3回戦
37,20180926,豊島将之,Win,先,菅井竜也,第59期王位戦 タイトル戦 第7局
38,20181002,豊島将之,Lose,後,糸谷哲郎,第68期王将戦 挑戦者決定リーグ戦 1回戦
39,20181006,豊島将之,Win,先,中村太地,第68期王将戦 挑戦者決定リーグ戦 2回戦
40,20181012,豊島将之,Win,後,糸谷哲郎,第77期順位戦 Ａ級 4回戦
41,20181019,豊島将之,Lose,後,広瀬章人,第68期王将戦 挑戦者決定リーグ戦 3回戦
42,20181026,豊島将之,Win,先,郷田真隆,第68期王将戦 挑戦者決定リーグ戦 4回戦
43,20181109,豊島将之,Win,後,深浦康市,第77期順位戦 Ａ級 5回戦
44,20181111,豊島将之,Win,後,大橋貴洸,第68回NHK杯戦 本戦 2回戦
45,20181121,豊島将之,Win,先,佐藤天彦,第68期王将戦 挑戦者決定リーグ戦 6回戦
46,20181126,豊島将之,Lose,後,渡辺明,第68期王将戦 挑戦者決定リーグ戦 7回戦
47,20181217,豊島将之,Lose,後,北浜健介,第12回朝日杯 二次予選 1回戦
48,20181221,豊島将之,Win,先,三浦弘行,第77期順位戦 Ａ級 6回戦
49,20181226,豊島将之,Win,先,三浦弘行,第32期竜王戦 １組 ランキング戦 1回戦
50,20190111,豊島将之,Lose,先,広瀬章人,第77期順位戦 Ａ級 7回戦
51,20190120,豊島将之,Win,後,行方尚史,第68回NHK杯戦 本戦 3回戦
52,20190131,豊島将之,Win,後,羽生善治,第77期順位戦 Ａ級 8回戦
53,20190217,豊島将之,Lose,先,羽生善治,第68回NHK杯戦 本戦 準々決勝
54,20190301,豊島将之,Win,先,久保利明,第77期順位戦 Ａ級 9回戦
55,20190326,豊島将之,Lose,後,渡辺明,第32期竜王戦 １組 ランキング戦 2回戦
