No,Date,PlayerName,WinLose,1st2nd,Opponent,Game
1,20180405,藤井聡太,Win,先,古森悠太,第44期棋王戦 予選 3回戦
2,20180410,藤井聡太,Win,後,阿部光瑠,第31期竜王戦 ５組 ランキング戦 3回戦
3,20180424,藤井聡太,Win,先,大石直嗣,第44期棋王戦 予選 4回戦
4,20180507,藤井聡太,Win,後,屋敷伸之,第66期王座戦 本戦 1回戦
5,20180518,藤井聡太,Win,後,船江恒平,第31期竜王戦 ５組 ランキング戦 準決勝
6,20180601,藤井聡太,Win,先,中村亮介,第44期棋王戦 予選 決勝
7,20180605,藤井聡太,Win,後,石田直裕,第31期竜王戦 ５組 ランキング戦 決勝
8,20180622,藤井聡太,Win,後,深浦康市,第66期王座戦 本戦 2回戦
9,20180625,藤井聡太,Win,後,都成竜馬,第31期竜王戦 本戦 1回戦
10,20180629,藤井聡太,Lose,後,増田康宏,第31期竜王戦 本戦 2回戦
11,20180703,藤井聡太,Win,先,豊川孝弘,第77期順位戦 Ｃ級１組 2回戦
12,20180706,藤井聡太,Lose,後,斎藤慎太郎,第66期王座戦 本戦 準決勝
13,20180715,藤井聡太,Lose,後,今泉健司,第68回NHK杯戦 本戦 1回戦
14,20180718,藤井聡太,Win,後,藤原直哉,第27期銀河戦 予選 決勝
15,20180720,藤井聡太,Win,後,森下卓,第77期順位戦 Ｃ級１組 1回戦
16,20180728,藤井聡太,Win,後,八代弥,第49期新人王戦 本戦 3回戦
17,20180731,藤井聡太,Win,先,西尾明,第77期順位戦 Ｃ級１組 3回戦
18,20180811,藤井聡太,Win,先,木下浩一,第4期叡王戦 七段戦 2回戦
19,20180824,藤井聡太,Win,後,里見香奈,第90期棋聖戦 一次予選 2回戦
20,20180828,藤井聡太,Win,後,青野照市,第77期順位戦 Ｃ級１組 4回戦
21,20180831,藤井聡太,Win,後,近藤誠也,第49期新人王戦 本戦 準々決勝
22,20180903,藤井聡太,Lose,後,菅井竜也,第44期棋王戦 本戦 2回戦
23,20180914,藤井聡太,Lose,先,山崎隆之,第60期王位戦 予選 2回戦
24,20180917,藤井聡太,Win,先,小林裕士,第4期叡王戦 七段戦 3回戦
25,20180917,藤井聡太,Win,後,千葉幸生,第4期叡王戦 七段戦 決勝
26,20180925,藤井聡太,Win,後,青嶋未来,第49期新人王戦 本戦 準決勝
27,20181010,藤井聡太,Win,後,出口若武,第49期新人王戦 本戦 決勝 第1局
28,20181017,藤井聡太,Win,先,出口若武,第49期新人王戦 本戦 決勝 第2局
29,20181023,藤井聡太,Win,先,千葉幸生,第77期順位戦 Ｃ級１組 6回戦
30,20181031,藤井聡太,Win,先,村田顕弘,第90期棋聖戦 一次予選 3回戦
31,20181031,藤井聡太,Win,先,今泉健司,第90期棋聖戦 一次予選 決勝
32,20181120,藤井聡太,Win,後,増田康宏,第77期順位戦 Ｃ級１組 7回戦
33,20181123,藤井聡太,Lose,後,斎藤慎太郎,第4期叡王戦 本戦 1回戦
34,20181212,藤井聡太,Win,後,佐藤慎一,第27期銀河戦 Eブロック 5回戦
35,20181212,藤井聡太,Win,先,阿部健治郎,第27期銀河戦 Eブロック 6回戦
36,20181218,藤井聡太,Win,後,門倉啓太,第77期順位戦 Ｃ級１組 8回戦
37,20181225,藤井聡太,Win,後,大石直嗣,第90期棋聖戦 二次予選 2回戦
38,20181228,藤井聡太,Win,後,村田顕弘,第45期棋王戦 予選 2回戦
39,20190108,藤井聡太,Win,先,富岡英作,第77期順位戦 Ｃ級１組 9回戦
40,20190120,藤井聡太,Win,後,稲葉陽,第12回朝日杯 本戦 1回戦
41,20190120,藤井聡太,Win,後,糸谷哲郎,第12回朝日杯 本戦 2回戦
42,20190124,藤井聡太,Win,後,村田智弘,第32期竜王戦 ４組 ランキング戦 1回戦
43,20190130,藤井聡太,Win,後,中村亮介,第45期棋王戦 予選 3回戦
44,20190205,藤井聡太,Lose,先,近藤誠也,第77期順位戦 Ｃ級１組 10回戦
45,20190212,藤井聡太,Win,先,池永天志,第69期王将戦 一次予選 2回戦
46,20190216,藤井聡太,Win,後,行方尚史,第12回朝日杯 本戦 準決勝
47,20190216,藤井聡太,Win,後,渡辺明,第12回朝日杯 本戦 決勝
48,20190219,藤井聡太,Win,先,近藤誠也,第27期銀河戦 Eブロック 7回戦
49,20190219,藤井聡太,Win,先,畠山鎮,第27期銀河戦 Eブロック 8回戦
50,20190305,藤井聡太,Win,後,都成竜馬,第77期順位戦 Ｃ級１組 11回戦
51,20190308,藤井聡太,Win,後,畠山成幸,第32期竜王戦 ４組 ランキング戦 2回戦
52,20190311,藤井聡太,Lose,後,久保利明,第90期棋聖戦 二次予選 決勝
53,20190327,藤井聡太,Win,後,中田宏樹,第32期竜王戦 ４組 ランキング戦 3回戦
